Kundnr,Flexplatsadress,Flexgrupp,Fraktion,Flextyp,Flexplats,Utförande utfört,Enhet körtur,Vikt körtur
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-03,Kg,7.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-10,Kg,17
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-10,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-17,Kg,18.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-17,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-24,Kg,18
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-24,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-31,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-03-31,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-07,Kg,16.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-07,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-14,Kg,11
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-14,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-21,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-28,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-04-28,Kg,17
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-05,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-12,Kg,5.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-12,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-19,Kg,20.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-19,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-26,Kg,58
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-05-26,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-02,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-09,Kg,5.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-09,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-16,Kg,11
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-16,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-23,Kg,15.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-23,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-30,Kg,11.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-06-30,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-07,Kg,11.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-07,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-14,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-14,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-21,Kg,9.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-21,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-28,Kg,27.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-07-28,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-04,Kg,9
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-04,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-11,Kg,23.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-11,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-15,Kg,3.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-15,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-18,Kg,9.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-18,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-25,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-08-25,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-01,Kg,11
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-01,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-08,Kg,14
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-08,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-15,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-15,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-22,Kg,18
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-22,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-29,Kg,14
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-09-29,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-06,Kg,12
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-06,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-13,Kg,12.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-13,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-13,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-20,Kg,16
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-20,Kg,42
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-20,Kg,0
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-27,Kg,8
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-27,Kg,16.5
560013612,Eklandagatan 41,Vent kärl flerb,Matavfall,140 liter,115839,2025-10-27,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-02,Kg,44
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-02,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-02,Kg,39
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-02,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-09,Kg,33
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-09,Kg,29.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-09,Kg,12
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-09,Kg,40
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-16,Kg,34
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-16,Kg,38.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-16,Kg,31.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-16,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-23,Kg,22.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-23,Kg,35
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-23,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-30,Kg,44
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-30,Kg,28
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-30,Kg,14
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-09-30,Kg,23
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-07,Kg,27.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-07,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-07,Kg,34
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-14,Kg,26.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-14,Kg,12
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-14,Kg,34
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-21,Kg,50.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-21,Kg,33.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-21,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-28,Kg,19.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-28,Kg,38.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-10-28,Kg,40
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-04,Kg,24
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-04,Kg,25
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-04,Kg,27.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-04,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-07,Kg,42.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-11,Kg,30
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-11,Kg,31.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-11,Kg,15
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-11,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-18,Kg,36
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-18,Kg,20
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-18,Kg,32
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-18,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-25,Kg,27
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-25,Kg,25.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-11-25,Kg,20
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-02,Kg,26
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-02,Kg,34.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-02,Kg,42.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-09,Kg,39.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-09,Kg,33.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-09,Kg,24.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-09,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-16,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-16,Kg,42.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-16,Kg,8
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-16,Kg,35
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-22,Kg,44.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-22,Kg,20.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-22,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-29,Kg,27
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-29,Kg,17.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2024-12-29,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-06,Kg,36
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-06,Kg,20.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-06,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-13,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-13,Kg,22.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-13,Kg,32
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-20,Kg,32.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-20,Kg,38
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-20,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-20,Kg,26.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-27,Kg,31.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-27,Kg,22.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-01-27,Kg,33
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-03,Kg,41.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-03,Kg,27.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-03,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-03,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-03,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-10,Kg,30
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-10,Kg,23.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-10,Kg,37
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-17,Kg,16
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-17,Kg,22.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-17,Kg,14.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-24,Kg,25.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-24,Kg,29.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-02-24,Kg,30.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-03,Kg,25
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-03,Kg,30
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-03,Kg,25
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-10,Kg,18
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-10,Kg,20.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-10,Kg,5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-17,Kg,35
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-17,Kg,34.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-17,Kg,38.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-24,Kg,57
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-24,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-24,Kg,46
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-31,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-03-31,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-01,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-02,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-07,Kg,35.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-07,Kg,63.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-07,Kg,40
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-08,Kg,24.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-08,Kg,30
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-08,Kg,21.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-08,Kg,0
